fields,supports,top100,top200,diff
cit2016 <= 107650.00 AND acaCol2017 <= 8.35 AND pub2016 > 3802.50,"['0.28', '0.45']",0.28,0.45,-0.16999999999999998
cit2016 <= 107650.00 AND pubPA2016 <= 1.29 AND pub2016 > 3802.50,"['0.28', '0.45']",0.28,0.45,-0.16999999999999998
pub2018 <= 8184.50 AND intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
citPA2016 <= 14.79 AND intCol2017 > 37.25 AND pubTJP2018 <= 42.95,"['0.06', '0.45']",0.06,0.45,-0.39
pub2016 <= 7543.00 AND intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
cit2017 <= 75794.50 AND pubTJP2017 <= 47.15 AND cit2018 <= 17064.00,"['0.07', '0.45']",0.07,0.45,-0.38
pubTJP2018 > 38.70 AND cit2018 <= 38456.00 AND acaCol2017 <= 8.35,"['0.31', '0.45']",0.31,0.45,-0.14
pub2016 <= 7543.00 AND pub2017 <= 3859.00 AND intCol2016 <= 66.75,"['0.06', '0.45']",0.06,0.45,-0.39
cit2018 <= 35720.00 AND intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
cit2016 <= 107650.00 AND intCol2018 <= 67.70 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
pubTJP2017 <= 47.65 AND pub2017 <= 7647.00 AND pub2016 > 3802.50,"['0.30', '0.45']",0.3,0.45,-0.15000000000000002
cit2017 <= 75794.50 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
pub2018 <= 8184.50 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pub2018 <= 8184.50 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2018 <= 35720.00 AND intCol2016 <= 66.15 AND pub2016 > 3802.50,"['0.34', '0.45']",0.34,0.45,-0.10999999999999999
pub2016 <= 7543.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pub2016 <= 7543.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
pubTJP2018 > 38.70 AND cit2017 <= 76606.00 AND pub2017 > 2151.50,"['0.33', '0.45']",0.33,0.45,-0.12
pubTJP2018 > 38.70 AND cit2016 <= 117378.00 AND acaCol2017 <= 8.35,"['0.31', '0.45']",0.31,0.45,-0.14
pubTJP2018 > 38.70 AND cit2017 <= 76606.00 AND intCol2016 <= 66.15,"['0.31', '0.45']",0.31,0.45,-0.14
pub2016 <= 7543.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
pub2018 <= 8184.50 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pubTJP2017 <= 47.65 AND cit2017 <= 75794.50 AND pubTJP2018 > 38.15,"['0.28', '0.45']",0.28,0.45,-0.16999999999999998
pub2017 <= 7940.00 AND pub2017 > 3859.00 AND pubPA2016 <= 1.19,"['0.26', '0.45']",0.26,0.45,-0.19
cit2016 <= 107650.00 AND pub2017 <= 3859.00 AND intCol2016 <= 66.75,"['0.06', '0.45']",0.06,0.45,-0.39
pub2018 <= 8184.50 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pubTCP2017 <= 24.65 AND cit2018 <= 36507.00 AND pub2016 > 3802.50,"['0.35', '0.45']",0.35,0.45,-0.10000000000000003
pubTJP2018 > 38.70 AND authors2018 <= 7893.50 AND cit2016 <= 117378.00,"['0.37', '0.45']",0.37,0.45,-0.08000000000000002
cit2016 <= 107650.00 AND intCol2018 <= 67.70 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
pub2018 <= 8184.50 AND intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
pubTJP2017 <= 47.65 AND pub2017 <= 7647.00 AND cit2018 <= 17064.00,"['0.08', '0.45']",0.08,0.45,-0.37
cit2017 <= 75794.50 AND pubTJP2017 <= 47.15 AND pubTJP2018 > 38.15,"['0.27', '0.45']",0.27,0.45,-0.18
pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
pubTJP2017 <= 47.15 AND cit2016 <= 49470.50,"['0.07', '0.45']",0.07,0.45,-0.38
intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
intCol2018 <= 67.70 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
pubTJP2017 <= 47.65 AND cit2016 <= 49470.50,"['0.08', '0.45']",0.08,0.45,-0.37
pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
pub2017 <= 7940.00 AND intCol2018 <= 67.70 AND cit2016 <= 49470.50,"['0.08', '0.46']",0.08,0.46,-0.38
pub2017 <= 7940.00 AND intCol2018 <= 67.70 AND cit2016 > 49470.50,"['0.35', '0.46']",0.35,0.46,-0.11000000000000004
cit2016 <= 107650.00 AND intCol2016 <= 66.15 AND pub2016 > 3802.50,"['0.32', '0.46']",0.32,0.46,-0.14
