@relation universities-weka.filters.unsupervised.attribute.Remove-R1

@attribute intCol2018 numeric
@attribute intCol2017 numeric
@attribute intCol2016 numeric
@attribute acaCol2018 numeric
@attribute acaCol2017 numeric
@attribute acaCol2016 numeric
@attribute pub2018 numeric
@attribute pub2017 numeric
@attribute pub2016 numeric
@attribute cit2018 numeric
@attribute cit2017 numeric
@attribute cit2016 numeric
@attribute fwCitImp2018 numeric
@attribute fwCitImp2017 numeric
@attribute fwCitImp2016 numeric
@attribute pubTCP2018 numeric
@attribute pubTCP2017 numeric
@attribute pubTCP2016 numeric
@attribute pubTJP2018 numeric
@attribute pubTJP2017 numeric
@attribute pubTJP2016 numeric
@attribute citPP2018 numeric
@attribute citPP2017 numeric
@attribute citPP2016 numeric
@attribute authors2018 numeric
@attribute authors2017 numeric
@attribute authors2016 numeric
@attribute citPA2018 numeric
@attribute citPA2017 numeric
@attribute citPA2016 numeric
@attribute pubPA2018 numeric
@attribute pubPA2017 numeric
@attribute pubPA2016 numeric
@attribute h5Index numeric
@attribute class {1,2}

@data
66.3,61.5,59.8,3.9,4,3.7,7812,7990,7499,40627,81364,117574,1.92,1.84,1.96,23.5,24.8,24.3,52.1,50.4,50.6,5.2,10.2,15.7,6723,6627,6349,6.042987,12.277652,18.518507,1.161981,1.205674,1.181131,176,1
63.9,61.6,58.3,3.6,3.3,3.1,10148,9735,9503,46266,91212,138573,1.74,1.79,1.86,22.4,24.2,24.1,45.1,47.7,47,4.6,9.4,14.6,9995,9400,9285,4.628914,9.703404,14.924394,1.015308,1.035638,1.023479,173,1
48.1,46.5,46.9,7.6,7.2,6.5,4876,4604,4518,28072,53352,81622,2.27,2.22,2.4,26.9,28,28.9,46.9,50.1,51.9,5.8,11.6,18.1,3583,3342,3164,7.834775,15.964093,25.797092,1.360871,1.377618,1.427939,167,1
41.6,40,38.8,5.5,5.8,5.4,9059,8857,9075,45912,93126,149164,2.04,2.09,2.09,22.8,25.3,25.6,46.1,48.3,46.1,5.1,10.5,16.4,8570,8769,8855,5.357293,10.619911,16.845172,1.05706,1.010035,1.024845,203,1
34.2,32.7,31.4,5.1,5.6,5,13120,11846,11642,64966,124120,191940,2.14,2.1,2.27,21.3,25.4,25.5,42.1,45.8,45.1,5,10.5,16.5,12502,12165,11527,5.196449,10.203042,16.65134,1.049432,0.973777,1.009977,214,1
33.4,32.5,30.9,4.7,4.3,4.4,16544,14653,13918,73149,139278,177848,1.55,1.65,1.58,21.5,23.2,21.2,43.4,42.2,40.1,4.4,9.5,12.8,16766,15011,14093,4.362937,9.278396,12.619598,0.986759,0.976151,0.987582,177,1
39.8,39.4,38.7,4.6,4.8,5.2,9460,9167,8997,47548,102511,158394,2.02,2.15,2.35,23.5,27.1,28.3,46.1,48.5,49.6,5,11.2,17.6,9186,8588,8460,5.176138,11.936539,18.722695,1.029828,1.06742,1.063475,209,1
43.1,41.2,39.8,5.9,6,5.9,11836,11317,11036,61288,125885,188038,2.1,2.26,2.3,21.8,24.8,26.2,43.4,47.7,48.6,5.2,11.1,17,10984,10270,10020,5.579752,12.257546,18.766267,1.077567,1.101947,1.101397,218,1
69.5,69.1,67.4,8.4,9.3,9.4,1924,1885,1786,9058,19831,25836,1.64,1.82,1.72,23.5,26,24.1,46.8,49.4,47,4.7,10.5,14.5,1653,1697,1686,5.479734,11.685916,15.323843,1.163944,1.110784,1.059312,103,1
57.9,55.8,53.2,6.9,6.3,6.8,7631,7557,7157,39237,84165,126321,2.15,2.28,2.38,21.6,24.2,24.9,44.2,47,45.3,5.1,11.1,17.6,6791,6659,6314,5.777794,12.639285,20.006494,1.123693,1.134855,1.133513,188,1
